912828SJ Govt,912828SJ0,0.875,2/28/17,100.6582031,0.5035635,2/28/15,8/31/15,4,0.503563,1.769634345,5/19/15
912828C3 Govt,912828C32,0.75,3/15/17,100.4296875,0.5128781,3/15/15,9/15/15,4,0.512878,1.812220002,5/19/15
912828MV Govt,912828MV9,3.25,3/31/17,105.0351563,0.5344933,3/31/15,9/30/15,4,0.534493,1.820070818,5/19/15
912828SM Govt,912828SM3,1,3/31/17,100.8789063,0.5260156,3/31/15,9/30/15,4,0.526016,1.851325048,5/19/15
912828J9 Govt,912828J92,0.5,3/31/17,99.953125,0.5252406,3/31/15,9/30/15,4,0.525241,1.85864917,5/19/15
912828K6 Govt,912828K66,0.5,4/30/17,99.91796875,0.5423662,4/30/15,10/31/15,4,0.542366,1.940897037,5/19/15
912828C3 Govt,912828C32,0.75,3/15/17,100.4296875,0.5128781,3/15/15,9/15/15,4,0.512878,1.812220002,5/19/15
912828MV Govt,912828MV9,3.25,3/31/17,105.0351563,0.5344933,3/31/15,9/30/15,4,0.534493,1.820070818,5/19/15
912828SM Govt,912828SM3,1,3/31/17,100.8789063,0.5260156,3/31/15,9/30/15,4,0.526016,1.851325048,5/19/15
912828J9 Govt,912828J92,0.5,3/31/17,99.953125,0.5252406,3/31/15,9/30/15,4,0.525241,1.85864917,5/19/15
912828C7 Govt,912828C73,0.875,4/15/17,100.6289063,0.5430244,4/15/15,10/15/15,4,0.543024,1.894123578,5/19/15
912828K6 Govt,912828K66,0.5,4/30/17,99.91796875,0.5423662,4/30/15,10/31/15,4,0.542366,1.940897037,5/19/15
912828NA Govt,912828NA4,3.125,4/30/17,104.9609375,0.5611801,4/30/15,10/31/15,4,0.56118,1.90397345,5/19/15
912828SS Govt,912828SS0,0.875,4/30/17,100.625,0.5520195,4/30/15,10/31/15,4,0.552019,1.935387974,5/19/15
912828GS Govt,912828GS3,4.5,5/15/17,107.7460938,0.5777144,5/15/15,11/15/15,4,0.577714,1.926807835,5/19/15
912810DY Govt,912810DY1,8.75,5/15/17,116.1992188,0.5502216,5/15/15,11/15/15,4,0.550222,1.876778891,5/19/15
912828WH Govt,912828WH9,0.875,5/15/17,100.6054688,0.5684482,5/15/15,11/15/15,4,0.568448,1.976146388,5/19/15
912828NG Govt,912828NG1,2.75,5/31/17,104.3632813,0.5876775,11/30/14,5/31/15,5,0.587677,1.96809514,5/19/15
912828SY Govt,912828SY7,0.625,5/31/17,100.0546875,0.5978814,11/30/14,5/31/15,5,0.597881,2.017445395,5/19/15
912828WP Govt,912828WP1,0.875,6/15/17,100.5546875,0.6054466,12/15/14,6/15/15,5,0.605447,2.052576807,5/19/15
912828TB Govt,912828TB6,0.75,6/30/17,100.2578125,0.6271108,12/31/14,6/30/15,5,0.627111,2.097445579,5/19/15
912828NK Govt,912828NK2,2.5,6/30/17,103.9570313,0.6147425,12/31/14,6/30/15,5,0.614742,2.056675728,5/19/15
912828WT Govt,912828WT3,0.875,7/15/17,100.5039063,0.6393771,1/15/15,7/15/15,5,0.639377,2.135848731,5/19/15
912828TG Govt,912828TG5,0.5,7/31/17,99.65625,0.6574764,1/31/15,7/31/15,5,0.657476,2.189190572,5/19/15
912828NR Govt,912828NR7,2.375,7/31/17,103.78125,0.6424032,1/31/15,7/31/15,5,0.642403,2.145088593,5/19/15
912810DZ Govt,912810DZ8,8.875,8/15/17,118.328125,0.6323089,2/15/15,8/15/15,5,0.632309,2.05999051,5/19/15
912828HA Govt,912828HA1,4.75,8/15/17,109.109375,0.6520992,2/15/15,8/15/15,5,0.652099,2.135980839,5/19/15
912828D4 Govt,912828D49,0.875,8/15/17,100.4492188,0.6727983,2/15/15,8/15/15,5,0.672798,2.221473434,5/19/15
912828NW Govt,912828NW6,1.875,8/31/17,102.703125,0.6793848,2/28/15,8/31/15,5,0.679385,2.237388264,5/19/15
912828TM Govt,912828TM2,0.625,8/31/17,99.859375,0.6871391,2/28/15,8/31/15,5,0.687139,2.267066522,5/19/15
912828D9 Govt,912828D98,1,9/15/17,100.6875,0.7010719,3/15/15,9/15/15,5,0.701072,2.298726009,5/19/15
912828PA Govt,912828PA2,1.875,9/30/17,102.7304688,0.7091227,3/31/15,9/30/15,5,0.709123,2.320880264,5/19/15
